T,MSD
5.000000000000000000e+01,2.198484704195820261e-03
1.000000000000000000e+02,4.454637312084578672e-03
3.000000000000000000e+02,1.433380587420884432e-02
5.000000000000000000e+02,2.129258495171767324e-02
1.000000000000000000e+03,4.279411398224564761e-02
8.000000000000000000e+02,3.516620927935578539e-02
1.400000000000000000e+03,6.155952454955965908e-02
1.586000000000000000e+03,6.759776444106178894e-02
2.000000000000000000e+03,8.469939119279407125e-02
2.250000000000000000e+03,9.193680670912049435e-02
2.500000000000000000e+03,9.826337412820847217e-02
2.800000000000000000e+03,1.059002703028637249e-01
3.000000000000000000e+03,1.169012545080883314e-01
3.200000000000000000e+03,1.193854050531087951e-01